,text,type
65,It can be concluded that Bethany is sensible once knowing that Bethany is not inquisitive.,rule
66,"If someone is not inquisitive and weak, then he is both not sensible and not splendid, and vice versa.",rule
67,"If there is at least one people who is not sensible or realistic, then Robyn is not lively.",rule
68,Someone being both weak and lively is equivalent to being inquisitive.,rule
69,"If Tyler is not inquisitive, then Bethany is not sensible and Glenn is realistic.",rule
70,Someone is not realistic and weak if and only if he is not sensible and inquisitive.,rule
71,"If someone is not lively or he is splendid, then he is not weak.",rule
72,Sherman is smoggy.,fact
73,Sherman is self-confident.,fact
74,Kim is not tense.,fact
75,Jessie is not massive.,fact
76,Jessie is tense.,fact
77,Grant is tense.,fact
78,Gloria is tense.,fact
79,Gloria is not self-confident.,fact
80,Grant is not massive.,fact
81,Grant is smoggy.,fact
82,Sherman is massive.,fact
83,Lester is not massive.,fact
84,It can be concluded that Sherman is not smoggy once knowing that Sherman is massive and Phineas is inquisitive.,rule
85,"If someone who is hurt is also smoggy, then he is not massive.",rule
86,Gloria is not hurt if and only if Phineas is not smoggy.,rule
87,All inquisitive people are massive.,rule
88,"If Phineas is not tense or Lester is not smoggy, then Lester is self-confident.",rule
89,"If someone is not self-confident, then he is tense, and vice versa.",rule
90,"If someone is not tense and not inquisitive, then he is smoggy, and vice versa.",rule
91,"If there is someone who is not massive, then Grant is not self-confident and Kim is hurt.",rule
92,"If there is someone who is massive, then Sherman is not self-confident.",rule
93,Sherman being smoggy is equivalent to Lester being hurt.,rule
94,Jessie is not tense if and only if Kim is not inquisitive.,rule
95,Gloria being not massive and Jessie being not self-confident imply that Phineas is not tense.,rule
96,Heath is not willing.,fact
97,Heath is smoggy.,fact
98,Richard is not self-confident.,fact
99,Lombard is not willing.,fact
100,Murray is smoggy.,fact
101,Heath is not medical.,fact
102,Della is not psychological.,fact
103,Gale is not smoggy.,fact
104,Lombard is not medical.,fact
105,Richard is willing.,fact
106,Hubert is psychological.,fact
107,Lombard is self-confident.,fact
108,"If all people are self-confident or not psychological, then Lombard is not willing.",rule
109,"If there is someone who is not brave, then Murray is willing.",rule
110,Someone is self-confident and not brave if and only if he is not psychological and willing.,rule
111,Gale being not smoggy and Richard being medical imply that Della is not willing.,rule
112,Lombard is not willing if and only if Della is not medical and Della is not brave.,rule
113,"If someone is willing, then he is medical.",rule
114,Someone is self-confident and brave if and only if he is not smoggy.,rule
115,"If someone is both not self-confident and not willing, then he is smoggy.",rule
116,"If someone is not psychological or not self-confident, then he is brave.",rule
117,"If there is someone who is both psychological and not medical, then Heath is not willing.",rule
118,It can be concluded that Murray is not psychological once knowing that Hubert is smoggy or Gale is self-confident.,rule
119,"If Della is not self-confident and Murray is willing, then Heath is not psychological.",rule
120,Aiken is homely.,fact
121,Aiken is bad.,fact
122,Leith is not annoying.,fact
123,Traci is sticky.,fact
124,Brian is not sticky.,fact
125,Mark is homely.,fact
126,Aiken is not intellectual.,fact
127,Ridley is not homely.,fact
128,Brian is intellectual.,fact
129,Traci is not strict.,fact
130,Chrysta is not intellectual.,fact
131,Mark is not annoying.,fact
132,"If Brian is annoying, then Ridley is not sticky and Chrysta is not intellectual, and vice versa.",rule
133,"If there is someone who is either not intellectual or not homely, then Ridley is annoying and Brian is strict.",rule
134,"If someone is bad, then he is sticky, and vice versa.",rule
135,"If all people are strict or not sticky, then Leith is intellectual.",rule
136,"If someone is homely and not intellectual, then he is bad and annoying.",rule
137,Ridley is homely if and only if Mark is not strict.,rule
138,Aiken being not intellectual implies that Aiken is not annoying.,rule
139,Mark is annoying if and only if Ridley is not homely.,rule
140,Someone who is eithor not intellectual or not annoying is always not bad.,rule
141,"If someone who is not sticky is also not bad, then he is strict.",rule
142,Someone is not sticky if and only if he is homely.,rule
143,Traci being homely or Chrysta being sticky implies that Brian is intellectual.,rule
144,Silas is light.,fact
145,Marcus is not timid.,fact
146,Marcus is popular.,fact
147,Marcus is light.,fact
148,Lucille is not unable.,fact
149,Curt is loyal.,fact
150,Brock is unable.,fact
151,Jed is loyal.,fact
152,Curt is unable.,fact
153,Garth is light.,fact
154,Brock is not shiny.,fact
155,Jed is popular.,fact
156,"If there is at least one people who is popular, then Curt is not unable.",rule
157,"If there is someone who is loyal, then Brock is timid and Lucille is not popular.",rule
158,"If there is someone who is timid, then Marcus is unable and Lucille is loyal.",rule
159,Garth being not shiny is equivalent to Jed being not unable and Marcus being light.,rule
160,"If someone who is not timid is also loyal, then he is not unable.",rule
161,"If there is at least one people who is light or not shiny, then Silas is timid.",rule
162,"If Lucille is light, then Brock is not popular.",rule
163,"If Curt is not light, then Marcus is popular.",rule
164,Silas is light if and only if Silas is loyal and Brock is not unable.,rule
165,"If someone is not timid, then he is loyal.",rule
166,"If there is someone who is both unable and not timid, then Jed is shiny.",rule
167,Someone who is both not shiny and unable is always light.,rule
168,Carolina is powerful.,fact
169,Janet is not helpless.,fact
170,Janet is powerful.,fact
171,Mark is not desperate.,fact
172,Mark is blue-eyed.,fact
173,Irvin is not powerful.,fact
174,Janet is not blue-eyed.,fact
175,Mark is powerful.,fact
176,Janet is not terrible.,fact
177,Blanche is powerful.,fact
178,Marion is desperate.,fact
179,Blanche is not easy.,fact
180,"If there is someone who is blue-eyed, then Janet is not terrible.",rule
181,"If there is someone who is either not desperate or helpless, then Janet is not powerful.",rule
182,"If there is at least one people who is easy, then Mark is helpless.",rule
183,"If someone is not blue-eyed, then he is both not desperate and not helpless.",rule
184,"If Blanche is easy, then Blanche is powerful, and vice versa.",rule
185,"If there is at least one people who is both desperate and not powerful, then Blanche is blue-eyed.",rule
186,"If Mark is powerful, then Janet is not helpless.",rule
187,Someone is terrible and not desperate if and only if he is helpless and not easy.,rule
188,Someone being both not desperate and terrible is equivalent to being not easy.,rule
189,"If Clark is not easy and Mark is powerful, then Marion is helpless.",rule
190,Someone is not helpless if and only if he is powerful.,rule
191,"If there is someone who is both not desperate and helpless, then Clark is easy.",rule
192,Chester is not pink.,fact
193,Carroll is not shy.,fact
194,Chester is shy.,fact
195,Chester is boring.,fact
196,Chester is splendid.,fact
197,Kyle is not pink.,fact
198,Deborah is not shy.,fact
199,Quinn is splendid.,fact
200,Sandy is successful.,fact
201,Carroll is not splendid.,fact
202,Kyle is not intellectual.,fact
203,Kyle is boring.,fact
204,Chester is not shy if and only if Sandy is successful.,rule
205,Deborah is not shy if and only if Quinn is not pink.,rule
206,Uriah being not pink is equivalent to Deborah being not shy and Sandy being intellectual.,rule
207,"If there is at least one people who is pink, then Chester is successful.",rule
208,Someone being not successful is equivalent to being not pink.,rule
209,"If someone is both shy and splendid, then he is boring.",rule
210,It can be concluded that Sandy is intellectual once knowing that Uriah is not successful or Sandy is boring.,rule
211,Someone being both boring and pink is equivalent to being not shy and splendid.,rule
212,It can be concluded that Sandy is shy and Uriah is not boring once knowing that Kyle is pink and Deborah is not splendid.,rule
213,"If there is at least one people who is not successful, then Quinn is pink.",rule
214,Someone is not successful and not intellectual if and only if he is boring and shy.,rule
215,Sandy being not successful and Quinn being not boring imply that Sandy is not splendid.,rule
216,Garth is not sleepy.,fact
217,Orlando is not agreeable.,fact
218,Garth is powerful.,fact
219,Garth is not agreeable.,fact
220,Orlando is powerful.,fact
221,Lester is not joyous.,fact
222,Leonard is not agreeable.,fact
223,Lester is not powerful.,fact
224,Lester is agreeable.,fact
225,Leonard is not warm-hearted.,fact
226,Orlando is sleepy.,fact
227,Greyson is sleepy.,fact
228,"If someone is warm-hearted, then he is both joyous and not bright.",rule
229,"if there is at least one people who is powerful and not bright, then Leonard is warm-hearted and Garth is not sleepy.",rule
230,"If someone is not sleepy and not powerful, then he is agreeable, and vice versa.",rule
231,"If there is someone who is powerful, then Blanche is not agreeable and Orlando is warm-hearted.",rule
232,"If someone who is not joyous is also not warm-hearted, then he is not sleepy.",rule
233,"If there is nobody who is not bright, then Orlando is warm-hearted.",rule
234,"As long as someone is not sleepy, he is not bright and not agreeable.",rule
235,"If someone is sleepy and not agreeable, then he is both not bright and joyous, and vice versa.",rule
236,Someone who is both not joyous and warm-hearted is always not powerful.,rule
237,"If someone is both not sleepy and bright, then he is joyous.",rule
238,Someone being both agreeable and not joyous is equivalent to being warm-hearted.,rule
239,"If Leonard is bright and Lester is not warm-hearted, then Greyson is powerful and Greyson is joyous, and vice versa.",rule
240,Fred is exuberant.,fact
241,Jacob is creepy.,fact
242,Jacob is safe.,fact
243,Olaf is safe.,fact
244,Fred is not creepy.,fact
245,Sidney is exuberant.,fact
246,Jacob is not clever.,fact
247,Mila is not obedient.,fact
248,Timothy is not obedient.,fact
249,Sidney is obedient.,fact
250,Mila is not expensive.,fact
251,Timothy is safe.,fact
252,"if there is at least one people who is safe and creepy, then Mila is obedient and Jacob is expensive.",rule
253,"If there is someone who is not creepy, then Mila is exuberant and Fred is expensive.",rule
254,"If all people are not safe or not clever, then Sidney is expensive.",rule
255,"If Sidney is not obedient or Jacob is creepy, then Fred is safe.",rule
256,"If someone is expensive and not creepy, then he is not clever and safe.",rule
257,It can be concluded that Olaf is not exuberant and Jacob is clever once knowing that Sidney is not expensive.,rule
258,It can be concluded that Aubrey is obedient once knowing that Aubrey is not creepy and Jacob is not safe.,rule
259,Someone is safe and obedient if and only if he is not creepy.,rule
260,Sidney is creepy if and only if Jacob is not clever.,rule
261,"If everyone is clever, then Aubrey is expensive.",rule
262,All exuberant people are not expensive.,rule
263,"If someone is exuberant, then he is both obedient and not safe.",rule
264,Theobold is not hypocritical.,fact
265,Albert is logical.,fact
266,Silas is wandering.,fact
267,Amanda is hypocritical.,fact
268,Amanda is not wandering.,fact
269,Silas is logical.,fact
270,Michael is not wandering.,fact
271,Kimball is not wandering.,fact
272,Philbert is charming.,fact
273,Michael is not charming.,fact
274,Theobold is not charming.,fact
275,Theobold is wandering.,fact
276,"If Theobold is not logical and Silas is not acceptable, then Philbert is charming.",rule
277,"If there is someone who is either not big or not charming, then Michael is not wandering.",rule
278,Silas being wandering and Philbert being not hypocritical imply that Amanda is logical.,rule
279,It can be concluded that Philbert is not logical once knowing that Kimball is big or Silas is not hypocritical.,rule
280,"If there is at least one people who is acceptable, then Michael is not logical.",rule
281,"If someone is not charming, then he is wandering, and vice versa.",rule
282,"If someone is not acceptable, then he is not wandering, and vice versa.",rule
283,Someone being big is equivalent to being not hypocritical.,rule
284,"If someone is charming and not hypocritical, then he is both big and logical, and vice versa.",rule
285,"If someone is charming or he is not hypocritical, then he is not big.",rule
286,Philbert is not charming if and only if Amanda is not acceptable.,rule
287,Someone being both hypocritical and logical is equivalent to being charming.,rule
288,Martin is not good.,fact
289,Orlando is good.,fact
290,Griswald is teeny.,fact
291,Orlando is not teeny.,fact
292,Tony is not guilty.,fact
293,Chatwin is not sore.,fact
294,Chatwin is not sexual.,fact
295,Martin is not sexual.,fact
296,Cecil is blue.,fact
297,Hartley is not sexual.,fact
298,Cecil is not teeny.,fact
299,Martin is not teeny.,fact
300,It can be concluded that Hartley is teeny and Orlando is not sore once knowing that Martin is not sexual and Chatwin is blue.,rule
301,"If there is someone who is sexual, then Hartley is not blue and Griswald is teeny.",rule
302,Someone is not sore if and only if he is not guilty.,rule
303,Someone who is eithor not sore or not teeny is always guilty.,rule
304,"If someone is not guilty and not sexual, then he is teeny, and vice versa.",rule
305,Cecil is not sexual if and only if Tony is teeny and Griswald is not guilty.,rule
306,"If someone who is not teeny is also sexual, then he is not guilty.",rule
307,"If there is someone who is both not sore and not guilty, then Chatwin is teeny.",rule
308,Hartley being not blue implies that Tony is not good and Griswald is not teeny.,rule
309,Someone who is teeny and sexual is always good and blue.,rule
310,"As long as someone is not guilty, he is sore and teeny.",rule
311,"If there is at least one people who is teeny, then Griswald is good.",rule
312,Garth is not every.,fact
313,Garth is difficult.,fact
314,Carlton is ugliest.,fact
315,Gilbert is not sexual.,fact
316,Joshua is every.,fact
317,Kianna is cotton.,fact
318,Sandy is not cotton.,fact
319,Garth is not sexual.,fact
320,Brooke is cotton.,fact
321,Sandy is every.,fact
322,Brooke is every.,fact
323,Kianna is difficult.,fact
324,"If someone is ugliest, then he is both not cotton and sexual.",rule
325,"If someone who is entire is also every, then he is not ugliest.",rule
326,It can be concluded that Brooke is not ugliest and Garth is entire once knowing that Sandy is not every.,rule
327,"If there is at least one people who is either ugliest or not entire, then Joshua is every and Gilbert is cotton.",rule
328,"If all people are ugliest, then Carlton is not cotton and Carlton is entire.",rule
329,"If there is someone who is either every or not entire, then Gilbert is not difficult.",rule
330,Carlton is not every if and only if Sandy is not entire and Joshua is ugliest.,rule
331,"If someone is every, then he is difficult, and vice versa.",rule
332,Someone who is both not cotton and not every is always entire.,rule
333,Someone is not every if and only if he is difficult.,rule
334,"If Brooke is not every, then Sandy is sexual and Kianna is not difficult.",rule
335,"If there is at least one people who is every, then Brooke is ugliest and Sandy is cotton.",rule
336,Kerwin is not charming.,fact
337,Morris is not salty.,fact
338,Gifford is not naughty.,fact
339,Gifford is charming.,fact
340,Harvey is not confident.,fact
341,Morris is visible.,fact
342,Charlie is naughty.,fact
343,Hardy is salty.,fact
344,Gifford is not depressed.,fact
345,Charlie is confident.,fact
346,Morris is naughty.,fact
347,Harvey is charming.,fact
348,Someone being both depressed and not salty is equivalent to being not naughty and not charming.,rule
349,"If someone is both not charming and visible, then he is naughty.",rule
350,Morris is not confident if and only if Hardy is naughty and Charlie is not salty.,rule
351,"If someone who is not visible is also not depressed, then he is confident.",rule
352,"If someone is not naughty or charming, then he is not salty.",rule
353,"If there is someone who is not charming, then Morris is not visible.",rule
354,Hardy being not charming and Hardy being not visible imply that Gifford is salty.,rule
355,"If someone is not naughty or depressed, then he is charming.",rule
356,"If there is someone who is charming, then Harris is not depressed.",rule
357,It can be concluded that Morris is not visible once knowing that Harris is not salty or Kerwin is naughty.,rule
358,"If someone is visible and depressed, then he is naughty, and vice versa.",rule
359,All naughty people are not salty.,rule
360,Kyle is not zealous.,fact
361,Gale is skinny.,fact
362,Rosie is sensible.,fact
363,Stephen is brave.,fact
364,Rosie is brave.,fact
365,Lee is not zealous.,fact
366,Lee is beige.,fact
367,Kyle is not brave.,fact
368,Stephen is not zealous.,fact
369,Stephen is beige.,fact
370,Glenn is beige.,fact
371,Glenn is nice.,fact
372,Someone being not nice is equivalent to being sensible.,rule
373,It can be concluded that Glenn is not brave once knowing that Stephen is not nice.,rule
374,"If there is someone who is skinny, then Jessie is sensible and Jessie is zealous.",rule
375,Stephen is brave if and only if Gale is skinny and Lee is nice.,rule
376,"If there is at least one people who is either not sensible or brave, then Stephen is nice and Gale is not beige.",rule
377,"If someone is not zealous or sensible, then he is skinny.",rule
378,It can be concluded that Gale is brave and Lee is skinny once knowing that Gale is zealous.,rule
379,"As long as someone is nice, he is not beige and not zealous.",rule
380,"If there is someone who is not sensible, then Rosie is not zealous.",rule
381,Someone who is not brave or skinny is always beige and not nice.,rule
382,Someone is sensible and skinny if and only if he is not beige.,rule
383,"If Glenn is not brave, then Kyle is zealous, and vice versa.",rule
384,Kilian is not smart.,fact
385,Aidan is rich.,fact
386,Kilian is cheeky.,fact
387,Harris is gentle.,fact
388,Bud is not gentle.,fact
389,Olaf is not smart.,fact
390,Bud is not loyal.,fact
391,Dave is not gentle.,fact
392,Harris is not rich.,fact
393,Bud is not popular.,fact
394,Aidan is smart.,fact
395,Dave is not cheeky.,fact
396,"If Kilian is not smart, then Kilian is not cheeky and Dave is popular.",rule
397,"If there is someone who is not loyal, then Dave is not gentle and Dave is rich.",rule
398,"If there is someone who is not rich, then Rosie is not popular and Olaf is not cheeky.",rule
399,Someone who is not cheeky and not rich is always smart and popular.,rule
400,Someone is loyal and not gentle if and only if he is rich.,rule
401,Someone who is not popular is always smart.,rule
402,"If there is someone who is either not gentle or not smart, then Aidan is popular.",rule
403,"If everyone is not gentle or loyal, then Aidan is not smart.",rule
404,Someone who is both not cheeky and loyal is always smart.,rule
405,Someone is not rich and smart if and only if he is not loyal and popular.,rule
406,Harris being not loyal is equivalent to Kilian being cheeky and Kilian being popular.,rule
407,Someone who is eithor popular or loyal is always not rich.,rule
408,Caleb is not unpleasant.,fact
409,Travis is not expensive.,fact
410,Coleman is not tender.,fact
411,Colin is not plain.,fact
412,Caleb is tender.,fact
413,Leonard is expensive.,fact
414,Caleb is smart.,fact
415,Leonard is not desperate.,fact
416,Travis is unpleasant.,fact
417,Debra is not smart.,fact
418,Leonard is unpleasant.,fact
419,Colin is expensive.,fact
420,"If there is at least one people who is both not tender and smart, then Colin is unpleasant.",rule
421,"If someone is smart, then he is not tender, and vice versa.",rule
422,"If Travis is plain, then Caleb is expensive, and vice versa.",rule
423,Someone who is tender is always both not desperate and expensive.,rule
424,"If someone is plain or he is not unpleasant, then he is not smart.",rule
425,"If Colin is not unpleasant, then Colin is desperate and Caleb is plain.",rule
426,"If someone is smart and not expensive, then he is desperate, and vice versa.",rule
427,Someone who is eithor not unpleasant or expensive is always not tender.,rule
428,"If there is someone who is both plain and tender, then Colin is not unpleasant and Colin is not desperate.",rule
429,All not plain people are expensive.,rule
430,Isabel being expensive or Caleb being not smart implies that Colin is tender.,rule
431,Someone is unpleasant and not plain if and only if he is expensive and tender.,rule
432,Valentina is aggressive.,fact
433,Clive is every.,fact
434,Clive is not unsightly.,fact
435,Chapman is sticky.,fact
436,Gresham is sticky.,fact
437,Gresham is every.,fact
438,Chapman is not fair-minded.,fact
439,Brian is not sticky.,fact
440,Gresham is not fair-minded.,fact
441,Harmony is not unsightly.,fact
442,Addison is not aggressive.,fact
443,Valentina is not unsightly.,fact
444,"If there is at least one people who is every or not aggressive, then Valentina is not unsightly.",rule
445,Brian is not beautiful if and only if Clive is not fair-minded.,rule
446,"If there is at least one people who is unsightly, then Clive is not sticky and Chapman is every.",rule
447,Someone being both fair-minded and sticky is equivalent to being not aggressive and beautiful.,rule
448,"If there is someone who is either unsightly or not beautiful, then Addison is not fair-minded.",rule
449,"If there is someone who is both unsightly and not fair-minded, then Valentina is every.",rule
450,Someone is not sticky if and only if he is not fair-minded.,rule
451,"If there is someone who is not sticky, then Gresham is not every.",rule
452,"If Addison is not sticky or Gresham is unsightly, then Chapman is aggressive.",rule
453,Gresham being sticky and Gresham being not fair-minded imply that Addison is not aggressive.,rule
454,"If there is someone who is either beautiful or sticky, then Chapman is not every.",rule
455,"If there is at least one people who is not unsightly or beautiful, then Gresham is not sticky.",rule
456,Dave is aware.,fact
457,Calvert is not harsh.,fact
458,Dave is harsh.,fact
459,Dave is shiny.,fact
460,Kirby is not shiny.,fact
461,Jed is not ugly.,fact
462,Jed is not successful.,fact
463,Kirby is obedient.,fact
464,Jarvis is not harsh.,fact
465,Culbert is not ugly.,fact
466,Jed is shiny.,fact
467,Kirby is aware.,fact
468,Someone who is aware and harsh is always not obedient and successful.,rule
469,"If Calvert is successful, then Culbert is shiny and Kirby is ugly, and vice versa.",rule
470,It can be concluded that Culbert is shiny once knowing that Calvert is aware or Jarvis is not ugly.,rule
471,"If someone is obedient and shiny, then he is not aware, and vice versa.",rule
472,Someone being ugly is equivalent to being shiny.,rule
473,"If someone is aware or he is not ugly, then he is not harsh.",rule
474,"If Kirby is harsh or Calvert is shiny, then Jarvis is not ugly.",rule
475,Someone who is both not aware and successful is always harsh.,rule
476,Someone who is not shiny is always successful.,rule
477,"If someone is shiny, then he is aware, and vice versa.",rule
478,Someone who is both obedient and not shiny is always harsh.,rule
479,"If there is at least one people who is both harsh and aware, then Jarvis is not obedient.",rule
480,Ross is existing.,fact
481,Hunter is not compassionate.,fact
482,Carlos is not existing.,fact
483,Ethan is not bright.,fact
484,Carlos is not helpless.,fact
485,Basil is administrative.,fact
486,Ethan is helpless.,fact
487,Ethan is administrative.,fact
488,Hunter is bright.,fact
489,Ross is administrative.,fact
490,Basil is cloudy.,fact
491,Carlos is cloudy.,fact
492,"As long as someone is bright, he is not cloudy and existing.",rule
493,Scott is bright if and only if Ross is compassionate.,rule
494,Someone who is not bright is always helpless.,rule
495,Someone being both compassionate and cloudy is equivalent to being bright.,rule
496,Ross is existing if and only if Carlos is not bright and Carlos is helpless.,rule
497,Someone who is not existing is always both not compassionate and cloudy.,rule
498,Scott being existing implies that Carlos is compassionate.,rule
499,"If someone is administrative and helpless, then he is not cloudy, and vice versa.",rule
500,"If someone is both not compassionate and not cloudy, then he is existing.",rule
501,"If there is at least one people who is not compassionate, then Carlos is not cloudy and Hunter is administrative.",rule
502,"If someone is not bright, then he is compassionate.",rule
503,All cloudy people are administrative.,rule
504,Kingsley is not cotton.,fact
505,Kingsley is not impartial.,fact
506,Brian is not impartial.,fact
507,Norman is impartial.,fact
508,Brian is not cotton.,fact
509,Stanley is careful.,fact
510,Norman is competitive.,fact
511,Mila is careful.,fact
512,Stanley is cotton.,fact
513,Sidney is sticky.,fact
514,Brian is careful.,fact
515,Kingsley is not careful.,fact
516,Brian being not repulsive and Kingsley being not sticky imply that Norman is impartial.,rule
517,"If Kingsley is repulsive or Kingsley is not cotton, then Norman is sticky.",rule
518,"If Kingsley is careful and Norman is impartial, then Stanley is not repulsive.",rule
519,It can be concluded that Stanley is impartial once knowing that Stanley is careful or Stanley is not sticky.,rule
520,Someone being both cotton and not sticky is equivalent to being not careful.,rule
521,"If someone is sticky and not competitive, then he is careful, and vice versa.",rule
522,"If someone is not sticky, then he is repulsive.",rule
523,Graham being not competitive implies that Brian is impartial and Mila is repulsive.,rule
524,"If there is someone who is not sticky, then Norman is repulsive and Mila is not careful.",rule
525,It can be concluded that Stanley is cotton once knowing that Stanley is not repulsive and Norman is not impartial.,rule
526,"If Stanley is not impartial or Norman is sticky, then Norman is not repulsive.",rule
527,Someone who is not competitive is always careful.,rule
528,Kathie is puzzled.,fact
529,Stewart is helpful.,fact
530,Graham is puzzled.,fact
531,Stanley is sleepy.,fact
532,Kathie is not helpful.,fact
533,Garrick is not handsome.,fact
534,Kathie is not handsome.,fact
535,Garrick is not sleepy.,fact
536,Garth is ugly.,fact
537,Kathie is not sleepy.,fact
538,Garth is not puzzled.,fact
539,Garrick is not ugly.,fact
540,It can be concluded that Graham is not puzzled once knowing that Kendall is not careful or Kathie is sleepy.,rule
541,Someone who is not careful or not helpful is always ugly and not sleepy.,rule
542,Someone who is helpful is always both sleepy and not handsome.,rule
543,"If someone is puzzled and not helpful, then he is not careful, and vice versa.",rule
544,"If Garrick is not handsome, then Garrick is careful and Stewart is puzzled.",rule
545,Someone who is not helpful is always handsome.,rule
546,Someone is puzzled if and only if he is helpful.,rule
547,"As long as someone is sleepy, he is careful and not puzzled.",rule
548,"If there is at least one people who is not careful, then Garth is sleepy and Stanley is ugly.",rule
549,It can be concluded that Stanley is ugly and Kendall is not careful once knowing that Stanley is helpful.,rule
550,"If there is at least one people who is not helpful, then Stanley is not sleepy and Garrick is not puzzled.",rule
551,It can be concluded that Garth is not helpful and Garrick is sleepy once knowing that Stanley is puzzled.,rule
552,Reginald is not every.,fact
553,Rodney is not severe.,fact
554,Gloria is not self-disciplined.,fact
555,Quillan is not every.,fact
556,Marshall is self-disciplined.,fact
557,Marshall is severe.,fact
558,Quillan is not self-disciplined.,fact
559,Lucia is unusual.,fact
560,Rodney is not self-disciplined.,fact
561,Rodney is not every.,fact
562,Reginald is not logical.,fact
563,Quillan is not logical.,fact
564,"If there is at least one people who is both not every and not self-disciplined, then Clifford is unusual.",rule
565,"If someone is not logical and self-disciplined, then he is both not unusual and severe, and vice versa.",rule
566,It can be concluded that Lucia is not cloudy once knowing that Reginald is logical or Clifford is unusual.,rule
567,"If there is at least one people who is not unusual, then Lucia is not self-disciplined.",rule
568,"If someone is self-disciplined or every, then he is not unusual.",rule
569,"If someone is logical or not unusual, then he is every.",rule
570,Someone who is not self-disciplined is always not unusual.,rule
571,"If someone is every, then he is not cloudy, and vice versa.",rule
572,"If someone who is unusual is also every, then he is cloudy.",rule
573,"If someone is not unusual or cloudy, then he is not logical.",rule
574,Quillan is severe if and only if Quillan is not logical and Reginald is not cloudy.,rule
575,"If there is someone who is both logical and not every, then Reginald is not self-disciplined.",rule
576,Adrian is wild.,fact
577,Marcus is elderly.,fact
578,Marcus is traditional.,fact
579,Arthur is not cotton.,fact
580,Coleman is cotton.,fact
581,Louis is not elderly.,fact
582,Marcus is not wild.,fact
583,Charles is traditional.,fact
584,Coleman is wild.,fact
585,Charles is wild.,fact
586,Louis is smart.,fact
587,Ramsey is not wild.,fact
588,"If Ramsey is elderly or Louis is not important, then Coleman is wild.",rule
589,Someone being cotton is equivalent to being important.,rule
590,"If someone is not elderly and wild, then he is both not smart and not important, and vice versa.",rule
591,"If Louis is elderly, then Charles is not cotton.",rule
592,"If there is someone who is wild, then Louis is elderly.",rule
593,"If Ramsey is not important, then Arthur is not cotton, and vice versa.",rule
594,"If someone is not cotton and not elderly, then he is wild and traditional.",rule
595,"If Louis is smart, then Coleman is not cotton and Marcus is wild.",rule
596,Someone who is eithor cotton or important is always elderly.,rule
597,"If someone is traditional, then he is both elderly and not smart.",rule
